date,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2018-01-02,000333,35.57,35.8,36.5,35.44,329725,1866579504.0,3.04,2.73,0.95,0.52
2018-01-03,000333,35.98,35.22,36.67,34.84,428368,2412127952.0,5.11,-1.62,-0.58,0.67
2018-01-04,000333,35.44,36.71,36.72,35.24,405557,2306429664.0,4.2,4.23,1.49,0.64
2018-01-05,000333,37.02,37.38,37.62,36.17,371854,2137344304.0,3.95,1.83,0.67,0.59
2018-01-08,000333,37.12,37.08,37.72,36.14,367885,2115094000.0,4.23,-0.8,-0.3,0.58
2018-01-09,000333,37.22,38.9,39.37,36.66,448054,2638563280.0,7.31,4.91,1.82,0.71
2018-01-10,000333,39.01,39.98,40.72,38.32,448967,2694648768.0,6.17,2.78,1.08,0.71
2018-01-11,000333,39.43,39.04,40.3,38.3,316035,1888981552.0,5.0,-2.35,-0.94,0.5
2018-01-12,000333,39.04,40.22,40.6,38.72,252900,1525807296.0,4.82,3.02,1.18,0.4
2018-01-15,000333,40.74,40.58,42.08,40.42,367226,2266432848.0,4.13,0.9,0.36,0.58
2018-01-16,000333,40.42,40.51,41.25,39.52,289365,1768100960.0,4.26,-0.17,-0.07,0.46
2018-01-17,000333,40.42,38.17,40.43,37.87,414037,2459742688.0,6.32,-5.78,-2.34,0.65
2018-01-18,000333,38.42,38.37,39.21,37.92,223782,1323941728.0,3.38,0.52,0.2,0.35
2018-01-19,000333,38.37,37.59,38.53,37.32,313879,1830960800.0,3.15,-2.03,-0.78,0.49
2018-01-22,000333,38.0,40.85,40.96,38.0,458501,2764421360.0,7.87,8.67,3.26,0.72
2018-01-23,000333,40.8,41.54,42.06,39.65,386473,2373486896.0,5.9,1.69,0.69,0.61
2018-01-24,000333,41.81,39.83,42.07,39.62,326127,1984093152.0,5.9,-4.12,-1.71,0.51
2018-01-25,000333,40.22,40.72,40.84,38.42,282564,1707172480.0,6.08,2.23,0.89,0.44
2018-01-26,000333,40.72,41.42,42.11,39.95,333516,2063068384.0,5.3,1.72,0.7,0.52
2018-01-29,000333,41.39,39.29,41.6,38.32,467086,2810319408.0,7.92,-5.14,-2.13,0.73
2018-01-30,000333,38.84,38.18,40.1,37.92,309516,1841490336.0,5.55,-2.83,-1.11,0.49
2018-01-31,000333,37.75,39.24,39.84,37.62,254072,1512097808.0,5.81,2.78,1.06,0.4
2018-02-01,000333,39.42,38.76,39.52,37.56,380032,2240855712.0,4.99,-1.22,-0.48,0.6
2018-02-02,000333,38.37,39.32,39.51,37.82,224897,1339453856.0,4.36,1.44,0.56,0.35
